,resolution,codec,sampling,framerate,128GB,aspect ratio,bit depth,datarate,file format,media type,comment,Unnamed: 11
61,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:2,24p,110 min,4:3,10 bit,150 Mb/s,MOV,SD,,
62,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,30p,168 min,4:3,8 bit,100 Mb/s,MOV,SD,,
63,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,25p,168 min,4:3,8 bit,100 Mb/s,MOV,SD,,
64,"3,3K (3328 x 2496)",MPEG-4 AVC/H.264,4:2:0,24p,168 min,4:3,8 bit,100 Mb/s,MOV,SD,,
65,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,60p,84 min,16:9,10 bit,200 Mb/s,MP4,SD,,
66,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,50p,84 min,16:9,10 bit,200 Mb/s,MP4,SD,,
67,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,30p,84 min,16:9,10 bit,200 Mb/s,MP4,SD,,
68,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,25p,84 min,16:9,10 bit,200 Mb/s,MP4,SD,,
69,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,24p,84 min,16:9,10 bit,200 Mb/s,MP4,SD,,
70,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,60p,166 min,16:9,10 bit,100 Mb/s,MP4,SD,,
71,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,50p,166 min,16:9,10 bit,100 Mb/s,MP4,SD,,
72,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,30p,166 min,16:9,10 bit,100 Mb/s,MP4,SD,,
73,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,25p,166 min,16:9,10 bit,100 Mb/s,MP4,SD,,
74,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,24p,166 min,16:9,10 bit,100 Mb/s,MP4,SD,,
75,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,180p,86 min,16:9,8 bit,100 Mb/s,MP4,SD,no sync sound,
76,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,150p,86 min,16:9,8 bit,100 Mb/s,MP4,SD,no sync sound,
77,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,120p,86 min,16:9,8 bit,100 Mb/s,MP4,SD,no sync sound,
78,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,100p,86 min,16:9,8 bit,100 Mb/s,MP4,SD,no sync sound,
79,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,60p,170 min,16:9,8 bit,100 Mb/s,MP4,SD,,
80,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,50p,166 min,16:9,8 bit,100 Mb/s,MP4,SD,,
81,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,30p,170 min,16:9,8 bit,100 Mb/s,MP4,SD,,
82,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,25p,170 min,16:9,8 bit,100 Mb/s,MP4,SD,,
83,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,24p,170 min,16:9,8 bit,100 Mb/s,MP4,SD,,
84,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,60p,598 min,16:9,8 bit,28 Mb/s,MP4,SD,,
85,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,50p,598 min,16:9,8 bit,28 Mb/s,MP4,SD,,
86,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,30p,796 min,16:9,8 bit,20 Mb/s,MP4,SD,,
87,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,25p,796 min,16:9,8 bit,20 Mb/s,MP4,SD,,
88,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:0,24p,696 min,16:9,8 bit,24 Mb/s,MP4,SD,,
89,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,60p,84 min,16:9,10 bit,200 Mb/s,MOV,SD,,
90,HD (1920 x 1080),MPEG-4 AVC/H.264,4:2:2,50p,84 min,16:9,10 bit,200 Mb/s,MOV,SD,,
